#creator_id: "https://orcid.org/0000-0002-7356-1779"
#curie_map: 
#  HP: "http://purl.obolibrary.org/obo/HP_"
#  MP: "http://purl.obolibrary.org/obo/MP_"
#  skos: "http://www.w3.org/2004/02/skos/core"
#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_provider: "http://purl.obolibrary.org/obo/upheno.owl"
subject_id	predicate_id	object_id	match_type	subject_label	object_label
HP:0009826	skos:exactMatch	MP:0000547	Lexical	Limb undergrowth	short limbs
HP:0004231	skos:exactMatch	MP:0000555	Lexical	Carpal bone aplasia	absent carpal bone
HP:0009776	skos:exactMatch	MP:0000561	Lexical	Adactyly	adactyly
HP:0001159	skos:exactMatch	MP:0000564	Lexical	Syndactyly	syndactyly
HP:0001762	skos:exactMatch	MP:0000576	Lexical	Talipes equinovarus	clubfoot
HP:0002164	skos:exactMatch	MP:0000579	Lexical	Nail dysplasia	abnormal nail morphology
HP:0008404	skos:exactMatch	MP:0000579	Lexical	Nail dystrophy	abnormal nail morphology
HP:0002910	skos:exactMatch	MP:0000609	Lexical	Elevated hepatic transaminase	abnormal liver physiology
HP:0031865	skos:exactMatch	MP:0000609	Lexical	Abnormal liver physiology	abnormal liver physiology
HP:0001396	skos:exactMatch	MP:0000610	Lexical	Cholestasis	cholestasis
HP:0000952	skos:exactMatch	MP:0000611	Lexical	Jaundice	jaundice
HP:0010286	skos:exactMatch	MP:0000613	Lexical	Abnormal salivary gland morphology	abnormal salivary gland morphology
HP:0002307	skos:exactMatch	MP:0000622	Lexical	Drooling	increased salivation
HP:0003781	skos:exactMatch	MP:0000622	Lexical	Excessive salivation	increased salivation
HP:0000217	skos:exactMatch	MP:0000623	Lexical	Xerostomia	decreased salivation
HP:0100783	skos:exactMatch	MP:0000629	Lexical	Breast aplasia	absent mammary gland
HP:0008216	skos:exactMatch	MP:0000639	Lexical	Adrenal gland dysgenesis	abnormal adrenal gland morphology
HP:0001651	skos:exactMatch	MP:0000644	Lexical	Dextrocardia	dextrocardia
HP:0032226	skos:exactMatch	MP:0000647	Lexical	Abnormal sebaceous gland morphology	abnormal sebaceous gland morphology
HP:0410400	skos:exactMatch	MP:0000648	Lexical	Absent sebaceous glands	absent sebaceous gland
HP:0011599	skos:exactMatch	MP:0000650	Lexical	Mesocardia	mesocardia
HP:0000971	skos:exactMatch	MP:0000674	Lexical	Abnormal sweat gland morphology	abnormal sweat gland morphology
HP:0008188	skos:exactMatch	MP:0000681	Lexical	Thyroid dysgenesis	abnormal thyroid gland morphology
HP:0025408	skos:exactMatch	MP:0000689	Lexical	Abnormal spleen morphology	abnormal spleen morphology
HP:0002716	skos:exactMatch	MP:0000702	Lexical	Lymphadenopathy	enlarged lymph nodes
HP:0000778	skos:exactMatch	MP:0000706	Lexical	Hypoplasia of the thymus	small thymus
HP:0002487	skos:exactMatch	MP:0000743	Lexical	Hyperkinetic movements	muscle spasm
HP:0003394	skos:exactMatch	MP:0000743	Lexical	Muscle spasm	muscle spasm
HP:0001337	skos:exactMatch	MP:0000745	Lexical	Tremor	tremors
HP:0003202	skos:exactMatch	MP:0000749	Lexical	Skeletal muscle atrophy	muscle degeneration
HP:0003470	skos:exactMatch	MP:0000753	Lexical	Paralysis	paralysis
HP:0001543	skos:exactMatch	MP:0000757	Lexical	Gastroschisis	herniated abdominal wall
HP:0011805	skos:exactMatch	MP:0000759	Lexical	Abnormal skeletal muscle morphology	abnormal skeletal muscle morphology
HP:0030809	skos:exactMatch	MP:0000762	Lexical	Abnormal tongue morphology	abnormal tongue morphology
HP:0001273	skos:exactMatch	MP:0000780	Lexical	Abnormal corpus callosum morphology	abnormal corpus callosum morphology
HP:0025101	skos:exactMatch	MP:0000808	Lexical	Dysgenesis of the hippocampus	abnormal hippocampus development
HP:0001317	skos:exactMatch	MP:0000849	Lexical	Abnormal cerebellum morphology	abnormal cerebellum morphology
HP:0007033	skos:exactMatch	MP:0000849	Lexical	Cerebellar dysplasia	abnormal cerebellum morphology
HP:0001321	skos:exactMatch	MP:0000852	Lexical	Cerebellar hypoplasia	small cerebellum
HP:0030769	skos:exactMatch	MP:0000914	Lexical	Exencephaly	exencephaly
HP:0012447	skos:exactMatch	MP:0000920	Lexical	Abnormal myelination	abnormal myelination
HP:0011096	skos:exactMatch	MP:0000921	Lexical	Peripheral demyelination	demyelination
HP:0007373	skos:exactMatch	MP:0000938	Lexical	Motor neuron atrophy	motor neuron degeneration
HP:0001291	skos:exactMatch	MP:0001056	Lexical	Abnormal cranial nerve morphology	abnormal cranial nerve morphology
HP:0000135	skos:exactMatch	MP:0001116	Lexical	Hypogonadism	small gonad
HP:0031105	skos:exactMatch	MP:0001120	Lexical	Abnormal uterus morphology	abnormal uterus morphology
HP:0000142	skos:exactMatch	MP:0001139	Lexical	Abnormal vagina morphology	abnormal vagina morphology
HP:0000035	skos:exactMatch	MP:0001146	Lexical	Abnormal testis morphology	abnormal testis morphology
HP:0000053	skos:exactMatch	MP:0001148	Lexical	Macroorchidism	enlarged testis
HP:0008669	skos:exactMatch	MP:0001156	Lexical	Abnormal spermatogenesis	abnormal spermatogenesis
HP:0008775	skos:exactMatch	MP:0001158	Lexical	Abnormal prostate morphology	abnormal prostate gland morphology
HP:0002088	skos:exactMatch	MP:0001175	Lexical	Abnormal lung morphology	abnormal lung morphology
HP:0100750	skos:exactMatch	MP:0001177	Lexical	Atelectasis	atelectasis
HP:0005944	skos:exactMatch	MP:0001181	Lexical	Bilateral lung agenesis	absent lungs
HP:0040223	skos:exactMatch	MP:0001182	Lexical	Pulmonary hemorrhage	lung hemorrhage
HP:0010783	skos:exactMatch	MP:0001190	Lexical	Erythema	reddish skin
HP:0040189	skos:exactMatch	MP:0001192	Lexical	Scaling skin	scaly skin
HP:0000963	skos:exactMatch	MP:0001199	Lexical	Thin skin	thin skin
HP:0001072	skos:exactMatch	MP:0001200	Lexical	Thickened skin	thick skin
HP:0010648	skos:exactMatch	MP:0001201	Lexical	Dermal translucency	translucent skin
HP:0000992	skos:exactMatch	MP:0001202	Lexical	Cutaneous photosensitivity	skin photosensitivity
HP:0200037	skos:exactMatch	MP:0001208	Lexical	Skin vesicle	blistering
HP:0000962	skos:exactMatch	MP:0001242	Lexical	Hyperkeratosis	hyperkeratosis
HP:0001552	skos:exactMatch	MP:0001268	Lexical	Barrel-shaped chest	barrel chest
HP:0000528	skos:exactMatch	MP:0001293	Lexical	Anophthalmia	anophthalmia
HP:0000568	skos:exactMatch	MP:0001297	Lexical	Microphthalmia	microphthalmia
HP:0012376	skos:exactMatch	MP:0001306	Lexical	Microphakia	small lens
HP:0007957	skos:exactMatch	MP:0001314	Lexical	Corneal opacity	corneal opacity
HP:0007973	skos:exactMatch	MP:0001325	Lexical	Retinal dysplasia	abnormal retina morphology
HP:0000546	skos:exactMatch	MP:0001326	Lexical	Retinal degeneration	retinal degeneration
HP:0001093	skos:exactMatch	MP:0001330	Lexical	Optic nerve dysplasia	abnormal optic nerve morphology
HP:0001097	skos:exactMatch	MP:0001337	Lexical	Keratoconjunctivitis sicca	dry eyes
HP:0000492	skos:exactMatch	MP:0001340	Lexical	Abnormal eyelid morphology	abnormal eyelid morphology
HP:0011224	skos:exactMatch	MP:0001341	Lexical	Ablepharon	absent eyelids
HP:0000508	skos:exactMatch	MP:0001344	Lexical	Ptosis	blepharoptosis
HP:0007656	skos:exactMatch	MP:0001347	Lexical	Lacrimal gland aplasia	absent lacrimal glands
HP:0009926	skos:exactMatch	MP:0001349	Lexical	Epiphora	excessive tearing
HP:0012875	skos:exactMatch	MP:0001378	Lexical	Abnormal ejaculation	abnormal ejaculation
HP:0000496	skos:exactMatch	MP:0001389	Lexical	Abnormality of eye movement	abnormal eye movement
HP:0001251	skos:exactMatch	MP:0001393	Lexical	Ataxia	ataxia
HP:0000752	skos:exactMatch	MP:0001399	Lexical	Hyperactivity	hyperactivity
HP:0001288	skos:exactMatch	MP:0001406	Lexical	Gait disturbance	abnormal gait
HP:0000733	skos:exactMatch	MP:0001408	Lexical	Stereotypy	stereotypic behavior
HP:0030082	skos:exactMatch	MP:0001422	Lexical	Abnormal drinking behavior	abnormal drinking behavior
HP:0001959	skos:exactMatch	MP:0001426	Lexical	Polydipsia	polydipsia
HP:0001944	skos:exactMatch	MP:0001429	Lexical	Dehydration	dehydration
HP:0100738	skos:exactMatch	MP:0001431	Lexical	Abnormal eating behavior	abnormal eating behavior
HP:0010831	skos:exactMatch	MP:0001516	Lexical	Impaired proprioception	abnormal motor coordination/balance
HP:0002305	skos:exactMatch	MP:0001527	Lexical	Athetosis	athetotic walking movements
HP:0030781	skos:exactMatch	MP:0001554	Lexical	Increased circulating free fatty acid level	increased circulating free fatty acid level
HP:0040214	skos:exactMatch	MP:0001560	Lexical	Abnormal insulin level	abnormal circulating insulin level
HP:0040215	skos:exactMatch	MP:0001560	Lexical	Abnormal circulating insulin level	abnormal circulating insulin level
HP:0000961	skos:exactMatch	MP:0001575	Lexical	Cyanosis	cyanosis
HP:0001903	skos:exactMatch	MP:0001577	Lexical	Anemia	anemia
HP:0001878	skos:exactMatch	MP:0001585	Lexical	Hemolytic anemia	hemolytic anemia
HP:0020058	skos:exactMatch	MP:0001586	Lexical	Abnormal red blood cell count	abnormal erythrocyte cell number
HP:0011902	skos:exactMatch	MP:0001588	Lexical	Abnormal hemoglobin	abnormal hemoglobin
HP:0025546	skos:exactMatch	MP:0001589	Lexical	Abnormal mean corpuscular hemoglobin concentration	abnormal mean corpuscular hemoglobin
HP:0002615	skos:exactMatch	MP:0001596	Lexical	Hypotension	hypotension
HP:0011675	skos:exactMatch	MP:0001629	Lexical	Arrhythmia	abnormal heart rate
HP:0011675	skos:exactMatch	MP:0001636	Lexical	Arrhythmia	irregular heartbeat
HP:0002605	skos:exactMatch	MP:0001654	Lexical	Hepatic necrosis	hepatic necrosis
HP:0002028	skos:exactMatch	MP:0001665	Lexical	Chronic diarrhea	chronic diarrhea
HP:0008897	skos:exactMatch	MP:0001732	Lexical	Postnatal growth retardation	postnatal growth retardation
HP:0008232	skos:exactMatch	MP:0001750	Lexical	Elevated circulating follicle stimulating hormone level	increased circulating follicle stimulating hormone level
HP:0012337	skos:exactMatch	MP:0001764	Lexical	Abnormal homeostasis	abnormal homeostasis
HP:0000777	skos:exactMatch	MP:0001823	Lexical	Abnormality of the thymus	thymus hypoplasia
HP:0410035	skos:exactMatch	MP:0001828	Lexical	Abnormal T cell activation	abnormal T cell activation
HP:0012647	skos:exactMatch	MP:0001845	Lexical	Abnormal inflammatory response	abnormal inflammatory response
HP:0002383	skos:exactMatch	MP:0001847	Lexical	Encephalitis	brain inflammation
HP:0012123	skos:exactMatch	MP:0001848	Lexical	Posterior uveitis	choroid inflammation
HP:0000509	skos:exactMatch	MP:0001852	Lexical	Conjunctivitis	conjunctivitis
HP:0012819	skos:exactMatch	MP:0001856	Lexical	Myocarditis	myocarditis
HP:0001701	skos:exactMatch	MP:0001857	Lexical	Pericarditis	pericarditis
HP:0000123	skos:exactMatch	MP:0001859	Lexical	Nephritis	kidney inflammation
HP:0012115	skos:exactMatch	MP:0001860	Lexical	Hepatitis	liver inflammation
HP:0002090	skos:exactMatch	MP:0001861	Lexical	Pneumonia	lung inflammation
HP:0006515	skos:exactMatch	MP:0001862	Lexical	Interstitial pneumonitis	interstitial pneumonia
HP:0012384	skos:exactMatch	MP:0001866	Lexical	Rhinitis	nasal inflammation
HP:0012384	skos:exactMatch	MP:0001867	Lexical	Rhinitis	rhinitis
HP:0031259	skos:exactMatch	MP:0001868	Lexical	Oophoritis	ovary inflammation
HP:0001733	skos:exactMatch	MP:0001869	Lexical	Pancreatitis	pancreas inflammation
HP:0031281	skos:exactMatch	MP:0001870	Lexical	Sialadenitis	salivary gland inflammation
HP:0000246	skos:exactMatch	MP:0001872	Lexical	Sinusitis	sinus inflammation
HP:0005263	skos:exactMatch	MP:0001873	Lexical	Gastritis	stomach inflammation
HP:0025092	skos:exactMatch	MP:0001874	Lexical	Epidermal acanthosis	acanthosis
HP:0100796	skos:exactMatch	MP:0001875	Lexical	Orchitis	testis inflammation
HP:0031094	skos:exactMatch	MP:0001881	Lexical	Abnormal breast physiology	abnormal mammary gland physiology
HP:0002323	skos:exactMatch	MP:0001890	Lexical	Anencephaly	anencephaly
HP:0000238	skos:exactMatch	MP:0001891	Lexical	Hydrocephalus	hydrocephaly
HP:0001334	skos:exactMatch	MP:0001893	Lexical	Communicating hydrocephalus	non-obstructive hydrocephaly
HP:0001342	skos:exactMatch	MP:0001916	Lexical	Cerebral hemorrhage	intracerebral hemorrhage
HP:0030746	skos:exactMatch	MP:0001917	Lexical	Intraventricular hemorrhage	intraventricular hemorrhage
HP:0008734	skos:exactMatch	MP:0001940	Lexical	Decreased testicular size	testis hypoplasia
HP:0002795	skos:exactMatch	MP:0001943	Lexical	Functional respiratory abnormality	abnormal respiration
HP:0005232	skos:exactMatch	MP:0001944	Lexical	Pancreatic dysplasia	abnormal pancreas morphology
HP:0031602	skos:exactMatch	MP:0001947	Lexical	Abnormal mucociliary clearance	abnormal mucociliary clearance
HP:0000076	skos:exactMatch	MP:0001948	Lexical	Vesicoureteral reflux	vesicoureteral reflux
HP:0002878	skos:exactMatch	MP:0001953	Lexical	Respiratory failure	respiratory failure
HP:0002094	skos:exactMatch	MP:0001954	Lexical	Dyspnea	respiratory distress
HP:0002098	skos:exactMatch	MP:0001954	Lexical	Respiratory distress	respiratory distress
HP:0040213	skos:exactMatch	MP:0001956	Lexical	Hypopnea	hypopnea
HP:0031826	skos:exactMatch	MP:0001961	Lexical	Abnormal reflex	abnormal reflex
HP:0000992	skos:exactMatch	MP:0001999	Lexical	Cutaneous photosensitivity	photosensitivity
HP:0002664	skos:exactMatch	MP:0002006	Lexical	Neoplasm	neoplasm
HP:0030434	skos:exactMatch	MP:0002013	Lexical	Pilomatrixoma	increased pilomatricoma incidence
HP:0100243	skos:exactMatch	MP:0002035	Lexical	Leiomyosarcoma	increased leiomyosarcoma incidence
HP:0002859	skos:exactMatch	MP:0002036	Lexical	Rhabdomyosarcoma	increased rhabdomyosarcoma incidence
HP:0001250	skos:exactMatch	MP:0002064	Lexical	Seizures	seizures
HP:0100852	skos:exactMatch	MP:0002065	Lexical	Abnormal fear/anxiety-related behavior	abnormal fear/anxiety-related behavior
HP:0040202	skos:exactMatch	MP:0002069	Lexical	Abnormal consumption behavior	abnormal consumption behavior
HP:0011014	skos:exactMatch	MP:0002078	Lexical	Abnormal glucose homeostasis	abnormal glucose homeostasis
HP:0001000	skos:exactMatch	MP:0002095	Lexical	Abnormality of skin pigmentation	abnormal skin pigmentation
HP:0031703	skos:exactMatch	MP:0002102	Lexical	Abnormal ear morphology	abnormal ear morphology
HP:0011805	skos:exactMatch	MP:0002108	Lexical	Abnormal skeletal muscle morphology	abnormal muscle morphology
HP:0011297	skos:exactMatch	MP:0002110	Lexical	Abnormal digit morphology	abnormal digit morphology
HP:0000110	skos:exactMatch	MP:0002135	Lexical	Renal dysplasia	abnormal kidney morphology
HP:0012210	skos:exactMatch	MP:0002135	Lexical	Abnormal renal morphology	abnormal kidney morphology
HP:0002171	skos:exactMatch	MP:0002183	Lexical	Gliosis	gliosis
HP:0001961	skos:exactMatch	MP:0002188	Lexical	Hypoplastic heart	small heart
HP:0012244	skos:exactMatch	MP:0002210	Lexical	Abnormal sex determination	abnormal sex determination
HP:0010459	skos:exactMatch	MP:0002213	Lexical	True hermaphroditism	true hermaphroditism
HP:0002180	skos:exactMatch	MP:0002229	Lexical	Neurodegeneration	neurodegeneration
HP:0025423	skos:exactMatch	MP:0002249	Lexical	Abnormal larynx morphology	abnormal larynx morphology
HP:0025426	skos:exactMatch	MP:0002264	Lexical	Abnormal bronchus morphology	abnormal bronchus morphology
HP:0003202	skos:exactMatch	MP:0002269	Lexical	Skeletal muscle atrophy	muscular atrophy
HP:0001311	skos:exactMatch	MP:0002272	Lexical	Abnormal nervous system electrophysiology	abnormal nervous system electrophysiology
HP:0002778	skos:exactMatch	MP:0002282	Lexical	Abnormal trachea morphology	abnormal trachea morphology
HP:0000028	skos:exactMatch	MP:0002286	Lexical	Cryptorchidism	cryptorchism
HP:0030875	skos:exactMatch	MP:0002295	Lexical	Abnormality of pulmonary circulation	abnormal pulmonary circulation
HP:0002835	skos:exactMatch	MP:0002296	Lexical	Aspiration	aspiration
HP:0012416	skos:exactMatch	MP:0002318	Lexical	Hypercapnia	hypercapnia
HP:0012415	skos:exactMatch	MP:0002329	Lexical	Abnormal blood gas level	abnormal blood gas level
HP:0025035	skos:exactMatch	MP:0002416	Lexical	Abnormal proerythroblast morphology	abnormal proerythroblast morphology
HP:0012143	skos:exactMatch	MP:0002417	Lexical	Abnormal megakaryocyte morphology	abnormal megakaryocyte morphology
HP:0001912	skos:exactMatch	MP:0002422	Lexical	Abnormal basophil morphology	abnormal basophil morphology
HP:0004312	skos:exactMatch	MP:0002424	Lexical	Abnormal reticulocyte morphology	abnormal reticulocyte morphology
HP:0001911	skos:exactMatch	MP:0002441	Lexical	Abnormal granulocyte morphology	abnormal granulocyte morphology
HP:0001877	skos:exactMatch	MP:0002447	Lexical	Abnormal erythrocyte morphology	abnormal erythrocyte morphology
HP:0100845	skos:exactMatch	MP:0002531	Lexical	Anaphylactic shock	abnormal type I hypersensitivity reaction
HP:0009803	skos:exactMatch	MP:0002543	Lexical	Short phalanx of finger	brachyphalangia
HP:0001156	skos:exactMatch	MP:0002544	Lexical	Brachydactyly	brachydactyly
HP:0011499	skos:exactMatch	MP:0002546	Lexical	Mydriasis	mydriasis
HP:0012433	skos:exactMatch	MP:0002557	Lexical	Abnormal social behavior	abnormal social/conspecific interaction
HP:0100851	skos:exactMatch	MP:0002572	Lexical	Abnormal emotion/affect behavior	abnormal emotion/affect behavior
HP:0410175	skos:exactMatch	MP:0002575	Lexical	Hyperketonemia	increased circulating ketone body level
HP:0005518	skos:exactMatch	MP:0002590	Lexical	Increased mean corpuscular volume	increased mean corpuscular volume
HP:0025066	skos:exactMatch	MP:0002591	Lexical	Decreased mean corpuscular volume	decreased mean corpuscular volume
HP:0031850	skos:exactMatch	MP:0002596	Lexical	Abnormal hematocrit	abnormal hematocrit
HP:0020064	skos:exactMatch	MP:0002602	Lexical	Abnormal eosinophil count	abnormal eosinophil cell number
HP:0001899	skos:exactMatch	MP:0002608	Lexical	Increased hematocrit	increased hematocrit
HP:0004332	skos:exactMatch	MP:0002619	Lexical	Abnormal lymphocyte morphology	abnormal lymphocyte morphology
HP:0001702	skos:exactMatch	MP:0002624	Lexical	Abnormal tricuspid valve morphology	abnormal tricuspid valve morphology
HP:0030732	skos:exactMatch	MP:0002624	Lexical	Dysplastic tricuspid valve	abnormal tricuspid valve morphology
HP:0001712	skos:exactMatch	MP:0002625	Lexical	Left ventricular hypertrophy	heart left ventricle hypertrophy
HP:0001649	skos:exactMatch	MP:0002626	Lexical	Tachycardia	increased heart rate
HP:0001397	skos:exactMatch	MP:0002628	Lexical	Hepatic steatosis	hepatic steatosis
HP:0001660	skos:exactMatch	MP:0002633	Lexical	Truncus arteriosus	persistent truncus arteriosis
HP:0000013	skos:exactMatch	MP:0002637	Lexical	Hypoplasia of the uterus	small uterus
HP:0000347	skos:exactMatch	MP:0002639	Lexical	Micrognathia	micrognathia
HP:0011273	skos:exactMatch	MP:0002642	Lexical	Anisocytosis	anisocytosis
HP:0008707	skos:exactMatch	MP:0002670	Lexical	Absent scrotum	absent scrotum
HP:0012206	skos:exactMatch	MP:0002674	Lexical	Abnormal sperm motility	abnormal sperm motility
HP:0012207	skos:exactMatch	MP:0002675	Lexical	Reduced sperm motility	asthenozoospermia
HP:0012205	skos:exactMatch	MP:0002686	Lexical	Globozoospermia	globozoospermia
HP:0000798	skos:exactMatch	MP:0002687	Lexical	Oligospermia	oligozoospermia
HP:0002304	skos:exactMatch	MP:0002690	Lexical	Akinesia	akinesia
HP:0030687	skos:exactMatch	MP:0002695	Lexical	Abnormal glucagon level	abnormal circulating glucagon level
HP:0040299	skos:exactMatch	MP:0002702	Lexical	Decreased circulating free fatty acid level	decreased circulating free fatty acid level
HP:0000787	skos:exactMatch	MP:0002708	Lexical	Nephrolithiasis	nephrolithiasis
HP:0009556	skos:exactMatch	MP:0002728	Lexical	Absent tibia	absent tibia
HP:0002251	skos:exactMatch	MP:0002731	Lexical	Aganglionic megacolon	megacolon
HP:0025367	skos:exactMatch	MP:0002732	Lexical	Trichoepithelioma	increased trichoepithelioma incidence
HP:0000099	skos:exactMatch	MP:0002743	Lexical	Glomerulonephritis	glomerulonephritis
HP:0001646	skos:exactMatch	MP:0002747	Lexical	Abnormal aortic valve morphology	abnormal aortic valve morphology
HP:0001641	skos:exactMatch	MP:0002748	Lexical	Abnormal pulmonary valve morphology	abnormal pulmonary valve morphology
HP:0005164	skos:exactMatch	MP:0002748	Lexical	Dysplastic pulmonary valve	abnormal pulmonary valve morphology
HP:0000520	skos:exactMatch	MP:0002750	Lexical	Proptosis	exophthalmos
HP:0005133	skos:exactMatch	MP:0002754	Lexical	Right ventricular dilatation	dilated heart right ventricle
HP:0005736	skos:exactMatch	MP:0002764	Lexical	Short tibia	short tibia
HP:0003038	skos:exactMatch	MP:0002765	Lexical	Fibular hypoplasia	short fibula
HP:0003363	skos:exactMatch	MP:0002766	Lexical	Abdominal situs inversus	situs inversus
HP:0000835	skos:exactMatch	MP:0002768	Lexical	Adrenal hypoplasia	small adrenal glands
HP:0012872	skos:exactMatch	MP:0002769	Lexical	Abnormal vas deferens morphology	abnormal vas deferens morphology
HP:0030341	skos:exactMatch	MP:0002790	Lexical	Decreased circulating follicle stimulating hormone level	decreased circulating follicle stimulating hormone level
HP:0002570	skos:exactMatch	MP:0002791	Lexical	Steatorrhea	steatorrhea
HP:0001142	skos:exactMatch	MP:0002794	Lexical	Lenticonus	lenticonus
HP:0001644	skos:exactMatch	MP:0002795	Lexical	Dilated cardiomyopathy	dilated cardiomyopathy
HP:0001935	skos:exactMatch	MP:0002810	Lexical	Microcytic anemia	microcytic anemia
